bounceRate,uniquePageviews,avgTimeOnPage,sale_class,year,asking_price,Month(date_added),weekday(date_added),dayOfMonth(date_added),daysOnWeb
58.3333333333333,243,163.18691588785,Used,2014,23995,8,1,28,161
70,223,174.712574850299,Used,2013,9995,8,1,28,134
76,192,216.705882352941,Used,2018,24995,9,5,1,153
76.9230769230769,166,119.732824427481,New,2017,27143,10,1,30,2
69.4444444444444,178,133.033898305085,Used,2015,21995,9,5,8,90
71.4285714285714,158,187.675,Used,2008,7995,7,0,2,92
66.6666666666667,163,181.561403508772,Used,2018,32995,8,4,3,134
62.5,125,130.489583333333,Used,2012,22995,11,1,27,63
68.421052631579,119,265.388888888889,Used,2011,12995,12,3,6,37
61.5384615384615,128,184.472222222222,Used,2016,25995,12,6,23,46
31.25,122,277.46875,Used,2014,12995,10,1,2,108
73.3333333333333,118,197.071428571429,Used,2017,23995,4,2,4,264
70.3703703703704,124,131.29347826087,Used,2012,13995,6,1,12,70
50,109,132.915789473684,Used,2008,4995,8,3,9,104
90,117,141.30303030303,Used,2017,39995,4,2,4,223
28.5714285714286,98,187.547368421053,Used,2014,21995,12,1,18,16
50,110,168.336956521739,Used,2013,9995,11,4,2,79
63.6363636363636,94,154.181818181818,Used,2017,36900,5,1,29,177
40,86,169.728260869565,Used,2014,25995,8,5,11,76
85.7142857142857,100,199.567164179104,Used,2011,14995,12,5,15,47
60,96,76.4266666666667,New,2017,34633,6,5,30,83
64.7058823529412,86,184.313725490196,Used,2016,15995,4,2,4,133
61.5384615384615,83,178.232876712329,Used,2015,28995,4,2,25,110
58.6206896551724,79,246.240740740741,Used,2011,4995,4,2,4,106
81.8181818181818,91,168.746031746032,Used,2018,21995,9,4,7,131
70,78,149.515625,Used,2014,23995,10,1,2,54
75.8620689655172,79,328.536585365854,Used,2017,29995,6,0,4,86
63.6363636363636,86,151.081967213115,Used,2018,53995,10,3,18,73
60,79,131.825396825397,Used,2014,11995,6,0,4,67
54.5454545454545,82,167.148148148148,Used,2017,12995,9,2,12,130
66.6666666666667,74,66.3134328358209,New,2017,31683,10,1,30,2
61.5384615384615,78,122.661016949153,Used,2013,16995,8,5,11,66
62.5,80,150.638888888889,New,2018,42073,4,2,4,123
55.5555555555556,74,137.830769230769,Used,2012,11995,6,5,30,84
40,74,111.622950819672,Used,2015,21995,8,3,16,66
60,70,190.938775510204,Used,2016,28995,6,2,27,61
66.6666666666667,71,127.654545454545,Used,2016,19995,5,1,29,67
37.5,68,176.676923076923,Used,2017,27995,4,2,4,166
92.8571428571429,63,137.34693877551,Used,2017,22995,4,1,17,108
0,70,157.767857142857,Used,2018,25995,5,1,29,190
75,70,148.040816326531,Used,2018,32995,12,5,1,27
